,bed,best,big,breakfast,check,choice,clean,comfortable,definitely,delivered,delivery,desk,did,dorsett,excellent,experience,food,friendly,good,great,guest,helpful,highly,just,like,make,manager,meal,need,nice,night,order,overall,provided,quality,really,recommend,request,room,service,small,spacious,staff,stayed,team,thank,time,view,water,window
delivery,0.18959107806691455,0.1117424242424242,0.13772455089820357,0.11976047904191611,0.16300366300366298,0.12716763005780352,0.20109439124487005,0.13853503184713378,0.08396946564885499,0.16322314049586772,0.0,0.1470588235294118,0.12890625,0.11005692599620498,0.11813643926788686,0.15337423312883436,0.2919254658385093,0.12616822429906538,0.20268756998880177,0.1707650273224044,0.15495495495495493,0.1430769230769231,0.11466165413533835,0.13780918727915192,0.16746411483253587,0.17310924369747904,0.09393346379647749,0.2114197530864198,0.162406015037594,0.1572327044025157,0.12109375,0.20798319327731096,0.12959381044487428,0.17032967032967028,0.11023622047244097,0.12908496732026142,0.14503816793893132,0.14925373134328357,0.24024024024024027,0.21107628004179724,0.13888888888888884,0.14468864468864473,0.20471014492753625,0.09878419452887544,0.1016635859519408,0.117056856187291,0.20963541666666663,0.18523878437047758,0.19999999999999996,0.18252427184466025
desk,0.19560439560439558,0.11085972850678738,0.11267605633802813,0.12864077669902918,0.15170940170940173,0.10633484162895923,0.13169319826338644,0.13996316758747696,0.07272727272727275,0.13075060532687655,0.1470588235294118,0.0,0.12616822429906538,0.12155963302752293,0.11196911196911197,0.12908777969018936,0.15315315315315314,0.11565836298932386,0.14923619271445354,0.11747430249632895,0.15221987315010566,0.12326388888888884,0.08991228070175439,0.11608961303462317,0.15009041591320071,0.11481481481481481,0.13480392156862742,0.15217391304347827,0.15726495726495726,0.097770154373928,0.13539192399049882,0.12705882352941178,0.11415525114155256,0.12655601659751037,0.09345794392523366,0.1333333333333333,0.11604095563139927,0.1428571428571429,0.16992481203007515,0.16048034934497812,0.1601941747572816,0.0907216494845361,0.15111940298507465,0.11565836298932386,0.09890109890109888,0.115009746588694,0.15533980582524276,0.13858267716535433,0.17105263157894735,0.15801354401805867
did,0.13181818181818183,0.10972568578553621,0.09743589743589742,0.09973753280839892,0.12814645308924488,0.11027568922305764,0.10510510510510507,0.11478599221789887,0.07848101265822782,0.1226666666666667,0.12890625,0.12616822429906538,0.0,0.0884520884520884,0.10416666666666663,0.14661654135338342,0.13552361396303902,0.0799256505576208,0.13797313797313793,0.11024844720496896,0.12387387387387383,0.10885608856088558,0.09200968523002417,0.12556053811659196,0.14119922630560933,0.15833333333333333,0.13008130081300817,0.1441281138790036,0.1308243727598566,0.09392265193370164,0.0992366412213741,0.14854111405835546,0.08599508599508598,0.11936936936936937,0.1076115485564304,0.10685483870967738,0.10545454545454547,0.10232558139534886,0.14220877458396364,0.12127894156560093,0.1048593350383632,0.08539325842696632,0.12713472485768496,0.07592592592592595,0.09661835748792269,0.08453608247422684,0.15565345080763582,0.11900826446280988,0.13225058004640367,0.13075060532687655
dorsett,0.11479028697571747,0.07109004739336489,0.08750000000000002,0.05970149253731338,0.11856823266219241,0.06888361045130642,0.11897590361445787,0.09848484848484851,0.07980049875311723,0.07537688442211055,0.11005692599620498,0.12155963302752293,0.0884520884520884,0.0,0.08484848484848484,0.1341911764705882,0.11523046092184364,0.1373307543520309,0.12860576923076927,0.1073619631901841,0.14739229024943312,0.11559633027522931,0.11707317073170731,0.08297872340425527,0.1264150943396226,0.11706349206349209,0.1876750700280112,0.11876075731497415,0.13120567375886527,0.13182674199623357,0.0759803921568627,0.09181141439205953,0.10864197530864195,0.12249443207126953,0.05405405405405406,0.10099009900990097,0.1346863468634686,0.10829493087557607,0.12956068503350704,0.1314917127071823,0.1142131979695431,0.02941176470588236,0.14573346116970276,0.09293680297397766,0.11084337349397588,0.1487068965517241,0.12944523470839264,0.09440000000000004,0.1049107142857143,0.11529411764705877
excellent,0.10447761194029848,0.10677618069815198,0.07186858316221767,0.09850107066381153,0.12667946257197693,0.12343096234309625,0.13854595336076814,0.14604810996563578,0.10169491525423724,0.1004273504273504,0.11813643926788686,0.11196911196911197,0.10416666666666663,0.08484848484848484,0.0,0.12639999999999996,0.171875,0.1325503355704698,0.16326530612244894,0.17076700434153402,0.11257035647279545,0.1449752883031301,0.13541666666666663,0.08957952468007313,0.10500807754442654,0.12068965517241381,0.07805907172995785,0.11329305135951662,0.1328125,0.10789049919484706,0.08453608247422684,0.08884297520661155,0.08502024291497978,0.09647495361781078,0.10729613733905574,0.08798646362098139,0.14893617021276595,0.109375,0.19167904903417532,0.23719376391982183,0.07786885245901642,0.1358267716535433,0.17939282428702852,0.12312811980033278,0.11608961303462317,0.11913357400722024,0.14119170984455953,0.1490312965722802,0.09193245778611636,0.08932038834951461
experience,0.12751677852348997,0.1275045537340619,0.10256410256410253,0.07818181818181813,0.144082332761578,0.10971223021582732,0.1389236545682102,0.13525835866261393,0.11317254174397029,0.12689393939393945,0.15337423312883436,0.12908777969018936,0.14661654135338342,0.1341911764705882,0.12639999999999996,0.0,0.2041392285983067,0.13876319758672695,0.20086862106406078,0.2013513513513514,0.1310924369747899,0.14814814814814814,0.128158844765343,0.11920529801324509,0.16463414634146345,0.16987179487179482,0.13001912045889097,0.15232722143864597,0.1566091954022989,0.14115898959881135,0.11397058823529416,0.11992619926199266,0.17557251908396942,0.12207357859531776,0.09963099630996308,0.1439873417721519,0.1602373887240356,0.11917098445595853,0.22472727272727278,0.20060483870967738,0.12639405204460963,0.13471502590673579,0.22924187725631773,0.11521418020679464,0.1234347048300537,0.14379084967320266,0.19083023543990085,0.16256830601092898,0.12585034013605445,0.13250883392226154
food,0.195496417604913,0.11947791164658639,0.14018691588785048,0.13319458896982306,0.1583665338645418,0.15937500000000004,0.2689530685920578,0.19404418828049952,0.11608961303462317,0.1643543223052295,0.2919254658385093,0.15315315315315314,0.13552361396303902,0.11523046092184364,0.171875,0.2041392285983067,0.0,0.18690702087286526,0.3846153846153846,0.2568058076225045,0.15285996055226825,0.17576318223866794,0.1232464929859719,0.17670682730923692,0.2292682926829268,0.1822565091610414,0.08917835671342689,0.2398489140698773,0.21361940298507465,0.234375,0.13842975206611574,0.1911447084233261,0.15113871635610765,0.17759838546922302,0.15189873417721522,0.18234723569350142,0.19550982226379798,0.1451451451451451,0.5076071922544951,0.347444089456869,0.15513626834381555,0.14271555996035679,0.3631694790902421,0.17907634307257303,0.11729622266401596,0.1522157996146436,0.31261261261261264,0.28163653663177923,0.195046439628483,0.1661538461538462
friendly,0.11631944444444442,0.08856088560885611,0.12133072407045009,0.10371819960861062,0.13928571428571423,0.09906542056074763,0.2002724795640327,0.1561996779388084,0.09807692307692306,0.08846153846153848,0.12616822429906538,0.11565836298932386,0.0799256505576208,0.1373307543520309,0.1325503355704698,0.13876319758672695,0.18690702087286526,0.0,0.1861233480176211,0.16689280868385348,0.11226252158894645,0.22295081967213115,0.12030075187969924,0.12326388888888884,0.1325115562403698,0.11269841269841274,0.09551656920077978,0.14701601164483258,0.14117647058823535,0.14043209876543206,0.07850467289719631,0.11798839458413923,0.11596958174904948,0.10499139414802061,0.07183364839319473,0.1358428805237316,0.16024653312788906,0.10535714285714282,0.2223042836041359,0.17730496453900713,0.07850467289719631,0.12142857142857144,0.27559808612440195,0.13084112149532712,0.11131725417439708,0.11461794019933558,0.1679197994987469,0.17428571428571427,0.12633451957295372,0.11272727272727268
good,0.18615751789976132,0.12157330154946366,0.14640198511166258,0.12132352941176472,0.16216216216216217,0.14233576642335766,0.26618705035971224,0.1970884658454647,0.10817307692307687,0.15056461731493098,0.20268756998880177,0.14923619271445354,0.13797313797313793,0.12860576923076927,0.16326530612244894,0.20086862106406078,0.3846153846153846,0.1861233480176211,0.0,0.21342685370741488,0.13974799541809846,0.1872294372294372,0.12470308788598572,0.1618160651920838,0.1894852135815991,0.1754189944134078,0.09603841536614643,0.2489035087719298,0.2384615384615385,0.23163841807909602,0.11538461538461542,0.16270337922403,0.1466992665036675,0.15599534342258436,0.13613861386138615,0.18885096700796355,0.1782283884738527,0.1425206124852768,0.4237047551454932,0.33775419982316535,0.1428571428571429,0.1357308584686775,0.346123101518785,0.1568206229860365,0.11764705882352944,0.15219842164599773,0.27281746031746035,0.24920127795527158,0.19562575941676796,0.16024096385542164
great,0.10999999999999999,0.10197869101978696,0.10124610591900307,0.11501597444089462,0.1286549707602339,0.1352201257861635,0.18436406067677946,0.13751668891855806,0.11198738170347,0.10410094637223977,0.1707650273224044,0.11747430249632895,0.11024844720496896,0.1073619631901841,0.17076700434153402,0.2013513513513514,0.2568058076225045,0.16689280868385348,0.21342685370741488,0.0,0.13411078717201164,0.18120805369127513,0.14420062695924762,0.12861271676300579,0.13594771241830061,0.1629526462395543,0.09779179810725547,0.14392059553349879,0.16666666666666663,0.14868421052631575,0.09216589861751157,0.10730948678071539,0.13543307086614176,0.1295487627365357,0.09531250000000002,0.17114568599717117,0.19703103913630227,0.1289355322338831,0.2926300578034682,0.2831683168316832,0.09216589861751157,0.16335877862595416,0.2857142857142857,0.1605937921727395,0.13117283950617287,0.14346590909090906,0.2045197740112994,0.22250639386189264,0.1312684365781711,0.12859304084720125
