,bed,best,birthday,breakfast,check,clean,come,comfortable,definitely,desk,dinner,especially,excellent,experience,family,feel,food,friend,friendly,good,great,guest,helpful,just,like,location,lounge,make,need,nice,night,overall,park,pool,really,recommend,restaurant,room,service,spacious,special,staff,staycation,stayed,team,thank,thanks,time,view,wonderful
dinner,0.08999999999999997,0.07565789473684215,0.1033519553072626,0.1978891820580475,0.1051502145922747,0.08267716535433067,0.048648648648648596,0.05882352941176472,0.05789473684210522,0.04941860465116277,0.0,0.048192771084337394,0.08495145631067957,0.08757637474541746,0.08933717579250722,0.08524590163934431,0.19621749408983447,0.04153354632587858,0.05622489959839361,0.11403508771929827,0.09917355371900827,0.08282208588957052,0.047717842323651505,0.10540540540540544,0.08393285371702641,0.04338394793926248,0.08615384615384614,0.06853582554517135,0.05730659025787965,0.10214168039538718,0.1071428571428571,0.07621951219512191,0.11363636363636365,0.08724832214765099,0.0732323232323232,0.060209424083769614,0.14933333333333332,0.11359570661896246,0.08819875776397512,0.056451612903225756,0.058461538461538454,0.08740894901144636,0.14423076923076927,0.06301369863013695,0.08211143695014667,0.06905370843989767,0.06887052341597799,0.10402684563758391,0.12098298676748587,0.08256880733944949
especially,0.06402439024390238,0.08385093167701863,0.10317460317460314,0.08181818181818179,0.08484848484848484,0.08128544423440454,0.08753315649867377,0.08728179551122195,0.06801007556675065,0.1264705882352941,0.048192771084337394,0.0,0.10613207547169812,0.0880626223091977,0.09589041095890416,0.09287925696594423,0.09090909090909094,0.07407407407407407,0.1322314049586777,0.10422535211267603,0.12254901960784315,0.11275964391691395,0.10947368421052628,0.09390862944162437,0.09976798143851506,0.0770877944325482,0.09011627906976749,0.0993975903614458,0.08310249307479223,0.10383386581469645,0.07868020304568524,0.07758620689655171,0.08630952380952384,0.08463949843260188,0.11194029850746268,0.07017543859649122,0.09685230024213076,0.0988725065047702,0.12109862671660421,0.05063291139240511,0.060869565217391286,0.13752665245202556,0.09203539823008855,0.0732984293193717,0.12680115273775217,0.10552763819095479,0.09919571045576403,0.12026359143327847,0.08084358523725832,0.08045977011494254
excellent,0.07434052757793763,0.07951807228915664,0.11206896551724133,0.10576923076923073,0.08904109589041098,0.12773109243697478,0.06708595387840666,0.12159329140461217,0.1127659574468085,0.11059907834101379,0.08495145631067957,0.10613207547169812,0.0,0.1273666092943201,0.10154525386313462,0.07875894988066823,0.12972972972972974,0.09290953545232272,0.121317157712305,0.1349614395886889,0.1541850220264317,0.10232558139534886,0.11985688729874777,0.0950413223140496,0.10404624277456642,0.1294559099437148,0.12322274881516593,0.09176470588235297,0.09375,0.133428981348637,0.09623430962343094,0.08715596330275233,0.07906976744186045,0.07228915662650603,0.10303030303030303,0.11440677966101698,0.1062124248496994,0.16552901023890787,0.2278325123152709,0.09361702127659577,0.10978520286396176,0.17896865520728011,0.11875000000000002,0.10652173913043483,0.12643678160919536,0.10905349794238683,0.12362030905077259,0.1289855072463768,0.17434210526315785,0.10208816705336432
experience,0.06999999999999995,0.10537190082644632,0.1313320825515948,0.10887772194304857,0.17752442996742668,0.1263001485884101,0.11194029850746268,0.11071428571428577,0.12338858195211788,0.111328125,0.08757637474541746,0.0880626223091977,0.1273666092943201,0.0,0.09943714821763605,0.10677618069815198,0.1497584541062802,0.11949685534591192,0.12749615975422424,0.2019826517967782,0.2024793388429752,0.12424849699398799,0.12106918238993714,0.12591240875912413,0.14782608695652177,0.12032520325203255,0.08301158301158296,0.08893280632411071,0.09487666034155595,0.15852047556142668,0.09892086330935257,0.1287726358148893,0.10199999999999998,0.07474747474747478,0.13848920863309355,0.1289134438305709,0.09793814432989689,0.20781379883624274,0.2017738359201774,0.08876811594202894,0.1288343558282209,0.21179883945841393,0.18436578171091444,0.09963099630996308,0.1074856046065259,0.11785714285714288,0.1266540642722117,0.2011095700416089,0.13778409090909094,0.12625250501002006
family,0.09855072463768111,0.07365439093484416,0.11750000000000005,0.09287257019438444,0.08206106870229013,0.0985401459854015,0.10275689223057649,0.08372093023255811,0.11274509803921573,0.05626598465473143,0.08933717579250722,0.09589041095890416,0.10154525386313462,0.09943714821763605,0.0,0.06388888888888888,0.11155378486055778,0.16307692307692312,0.09056603773584904,0.10748299319727894,0.11335403726708071,0.09459459459459463,0.07321772639691715,0.0976190476190476,0.12249443207126953,0.06813627254509014,0.046511627906976716,0.06756756756756754,0.09067357512953367,0.10076335877862597,0.09375,0.06860158311345643,0.07046070460704612,0.09620991253644318,0.08656036446469251,0.1311881188118812,0.10273972602739723,0.12586805555555558,0.12077294685990336,0.10696517412935325,0.08493150684931505,0.11032388663967607,0.14920071047957373,0.07317073170731703,0.07124681933842236,0.11904761904761907,0.1282051282051282,0.11111111111111116,0.09880749574105618,0.09139784946236562
feel,0.0641025641025641,0.09933774834437081,0.05820105820105825,0.07746478873239437,0.10403397027600847,0.07558139534883723,0.0767123287671233,0.12634408602150538,0.07957559681697612,0.12269938650306744,0.08524590163934431,0.09287925696594423,0.07875894988066823,0.10677618069815198,0.06388888888888888,0.0,0.09421841541755893,0.0816993464052288,0.08588957055214719,0.10678210678210676,0.1166666666666667,0.10835913312693501,0.07822410147991543,0.12195121951219512,0.1932114882506527,0.07048458149779735,0.059171597633136064,0.1796610169491526,0.08720930232558144,0.058084772370486704,0.08222811671087538,0.06865671641791049,0.10828025477707004,0.07868852459016396,0.11111111111111116,0.07611548556430447,0.10379746835443038,0.11012433392539966,0.10401002506265666,0.06417112299465244,0.0771604938271605,0.11583421891604673,0.1070110701107011,0.08563535911602205,0.09999999999999998,0.09585492227979275,0.1039325842696629,0.12182741116751272,0.08137432188065097,0.05899705014749268
food,0.10217391304347823,0.0903225806451613,0.09732824427480913,0.19848771266540643,0.1356209150326797,0.1370716510903427,0.09864603481624756,0.11444652908067543,0.09811320754716979,0.06706114398422092,0.19621749408983447,0.09090909090909094,0.12972972972972974,0.1497584541062802,0.11155378486055778,0.09421841541755893,0.0,0.06976744186046513,0.1314102564102564,0.2265625,0.15595075239398082,0.10580912863070535,0.1211129296235679,0.12619502868068833,0.12255772646536411,0.10350584307178634,0.16630196936542674,0.08057851239669422,0.10909090909090913,0.18741258741258737,0.12765957446808507,0.1292372881355932,0.09873949579831931,0.1175166297117517,0.09009009009009006,0.09962406015037595,0.22444889779559118,0.20456466610312762,0.18651685393258421,0.10404624277456642,0.08713692946058094,0.20215897939156036,0.2262658227848101,0.11154598825831707,0.09362549800796816,0.09124087591240881,0.08604206500956024,0.19203413940256042,0.17835365853658536,0.11250000000000004
friend,0.08637873754152825,0.09364548494983282,0.13832853025936598,0.06823529411764706,0.07515657620041749,0.08695652173913049,0.0807799442896936,0.09234828496042213,0.15186246418338112,0.08408408408408408,0.04153354632587858,0.07407407407407407,0.09290953545232272,0.11949685534591192,0.16307692307692312,0.0816993464052288,0.06976744186046513,0.0,0.07786885245901642,0.06424581005586594,0.09195402298850575,0.0696969696969697,0.07446808510638303,0.054123711340206215,0.08915662650602407,0.054824561403508776,0.05373134328358209,0.058641975308642014,0.0982142857142857,0.0738362760834671,0.08042895442359255,0.047477744807121636,0.04255319148936165,0.05882352941176472,0.07052896725440805,0.17732558139534882,0.051219512195122,0.09691629955947134,0.10327455919395467,0.06504065040650409,0.045592705167173286,0.09538784067085959,0.10389610389610393,0.0807799442896936,0.07580174927113703,0.1146666666666667,0.09915014164305946,0.10033444816053516,0.07818181818181813,0.07272727272727275
friendly,0.08659793814432992,0.09109730848861286,0.08576642335766427,0.11604095563139927,0.13132911392405067,0.20192307692307687,0.11787072243346008,0.12867647058823528,0.12734082397003743,0.10216110019646363,0.05622489959839361,0.1322314049586777,0.121317157712305,0.12749615975422424,0.09056603773584904,0.08588957055214719,0.1314102564102564,0.07786885245901642,0.0,0.17460317460317465,0.20473537604456826,0.07797270955165692,0.25668449197860965,0.09335727109515257,0.10508474576271187,0.15423728813559323,0.09504950495049502,0.0881763527054108,0.10700389105058361,0.1633199464524766,0.09041591320072329,0.09504950495049502,0.0816733067729084,0.10548523206751059,0.08885017421602792,0.12037037037037035,0.124777183600713,0.21940928270042193,0.15823466092572658,0.13819577735124755,0.07086614173228345,0.3287086446104589,0.14884393063583812,0.11153119092627595,0.09845559845559848,0.1155234657039711,0.08287292817679559,0.1578947368421053,0.16105417276720346,0.0862745098039216
good,0.101010101010101,0.08073654390934848,0.08344198174706652,0.17880794701986757,0.16687116564417181,0.20390720390720396,0.11804613297150612,0.13484646194926564,0.1011826544021025,0.1193820224719101,0.11403508771929827,0.10422535211267603,0.1349614395886889,0.2019826517967782,0.10748299319727894,0.10678210678210676,0.2265625,0.06424581005586594,0.17460317460317465,0.0,0.2019650655021834,0.11283497884344151,0.17039800995024879,0.1296791443850267,0.15025906735751293,0.22266666666666668,0.11598302687411599,0.0941011235955056,0.10576923076923073,0.25568181818181823,0.13685636856368566,0.1352517985611511,0.1018387553041018,0.11600587371512483,0.1373844121532365,0.11538461538461542,0.1779891304347826,0.33095803642121935,0.29516288252714706,0.12330623306233057,0.08938547486033521,0.30140597539543057,0.1974448315911731,0.11956521739130432,0.09078590785907859,0.11197916666666663,0.1090174966352625,0.22783389450056113,0.2220902612826603,0.09266943291839558
great,0.08646003262642743,0.10631229235880402,0.12404287901990807,0.14595375722543358,0.1634877384196185,0.16361256544502623,0.10823170731707321,0.10572687224669608,0.15600624024960996,0.1146496815286624,0.09917355371900827,0.12254901960784315,0.1541850220264317,0.2024793388429752,0.11335403726708071,0.1166666666666667,0.15595075239398082,0.09195402298850575,0.20473537604456826,0.2019650655021834,0.0,0.09320695102685628,0.1804195804195804,0.12481203007518793,0.13486370157819227,0.18155619596541783,0.12703583061889245,0.09999999999999998,0.08422664624808573,0.17757009345794394,0.14329738058551622,0.130718954248366,0.12171052631578949,0.12372881355932208,0.16109422492401215,0.1238670694864048,0.15442278860569714,0.2930612244897959,0.265625,0.14018691588785048,0.11967213114754094,0.28505106778087275,0.18078381795195952,0.13239875389408096,0.120253164556962,0.12481426448736999,0.13771517996870108,0.21142162818955046,0.23936170212765961,0.12317666126418148
guest,0.09259259259259256,0.0993788819875776,0.09326424870466321,0.12910798122065725,0.14345991561181437,0.08867924528301885,0.0949868073878628,0.07560975609756093,0.056650246305418706,0.10857142857142854,0.08282208588957052,0.11275964391691395,0.10232558139534886,0.12424849699398799,0.09459459459459463,0.10835913312693501,0.10580912863070535,0.0696969696969697,0.07797270955165692,0.11283497884344151,0.09320695102685628,0.0,0.07474747474747478,0.1657754010695187,0.14868105515587526,0.0854700854700855,0.07648725212464591,0.11445783132530118,0.1412103746397695,0.08242612752721612,0.12271540469973885,0.06442577030812324,0.08504398826979476,0.13592233009708743,0.10243902439024388,0.04347826086956519,0.14500000000000002,0.12666076173604957,0.13157894736842102,0.08247422680412375,0.07536231884057976,0.128421052631579,0.1028368794326241,0.10962566844919786,0.125,0.11809045226130654,0.08072916666666663,0.15905245346869712,0.099290780141844,0.05833333333333335
helpful,0.05857740585774063,0.07203389830508478,0.07894736842105265,0.10086956521739132,0.10685805422647532,0.17391304347826086,0.10526315789473684,0.1425818882466281,0.13035019455252916,0.11570247933884292,0.047717842323651505,0.10947368421052628,0.11985688729874777,0.12106918238993714,0.07321772639691715,0.07822410147991543,0.1211129296235679,0.07446808510638303,0.25668449197860965,0.17039800995024879,0.1804195804195804,0.07474747474747478,0.0,0.08687615526802217,0.09739130434782606,0.1578947368421053,0.07258064516129037,0.08298755186721996,0.08946322067594437,0.1876750700280112,0.09193245778611636,0.09917355371900827,0.08523908523908519,0.06567796610169496,0.10018214936247727,0.1145038167938931,0.11721611721611724,0.2088285229202037,0.15300546448087426,0.12377210216110024,0.0565656565656566,0.3007438894792773,0.138235294117647,0.11176470588235299,0.09819639278557113,0.10555555555555551,0.08413001912045892,0.13108108108108107,0.16616314199395765,0.10123966942148765
just,0.13888888888888884,0.0732984293193717,0.091324200913242,0.14743589743589747,0.1390476190476191,0.1164021164021164,0.10563380281690138,0.1019955654101996,0.0825892857142857,0.09900990099009899,0.10540540540540544,0.09390862944162437,0.0950413223140496,0.12591240875912413,0.0976190476190476,0.12195121951219512,0.12619502868068833,0.054123711340206215,0.09335727109515257,0.1296791443850267,0.12481203007518793,0.1657754010695187,0.08687615526802217,0.0,0.20495495495495497,0.13480885311871227,0.09547738693467334,0.12698412698412698,0.16195372750642678,0.11572700296735905,0.12761020881670537,0.09547738693467334,0.08951406649616367,0.1150684931506849,0.15192743764172334,0.07017543859649122,0.14222222222222225,0.15881326352530545,0.1269095182138661,0.10440835266821347,0.07828282828282829,0.13709677419354838,0.10784313725490191,0.1267942583732058,0.10513447432762835,0.09150326797385622,0.07534246575342463,0.19323671497584538,0.14770797962648552,0.07901234567901239
like,0.09951456310679607,0.09156626506024101,0.08995815899581594,0.1507936507936508,0.142602495543672,0.12292358803986714,0.10064239828693788,0.11570247933884292,0.08196721311475408,0.1378504672897196,0.08393285371702641,0.09976798143851506,0.10404624277456642,0.14782608695652177,0.12249443207126953,0.1932114882506527,0.12255772646536411,0.08915662650602407,0.10508474576271187,0.15025906735751293,0.13486370157819227,0.14868105515587526,0.09739130434782606,0.20495495495495497,0.0,0.10163339382940106,0.12177985948477754,0.14111922141119226,0.09999999999999998,0.11344537815126055,0.14254859611231097,0.10114942528735638,0.14390243902439026,0.09756097560975607,0.15271966527196656,0.10395010395010396,0.136734693877551,0.18393782383419688,0.176056338028169,0.08805031446540879,0.1298076923076923,0.15483234714003946,0.13543307086614176,0.11255411255411252,0.11486486486486491,0.15010570824524316,0.11739130434782608,0.18429003021148038,0.1322834645669292,0.10854503464203236
location,0.10297482837528604,0.08314606741573038,0.05566218809980805,0.0972972972972973,0.10378912685337727,0.1633663366336634,0.07952286282306165,0.1312127236580517,0.09215686274509804,0.10256410256410253,0.04338394793926248,0.0770877944325482,0.1294559099437148,0.12032520325203255,0.06813627254509014,0.07048458149779735,0.10350584307178634,0.054824561403508776,0.15423728813559323,0.22266666666666668,0.18155619596541783,0.0854700854700855,0.1578947368421053,0.13480885311871227,0.10163339382940106,0.0,0.0672268907563025,0.08026030368763559,0.10084033613445376,0.1822094691535151,0.08984375,0.10195227765726678,0.061833688699360345,0.08863636363636362,0.10056925996204935,0.12449799196787148,0.19348268839103866,0.20068610634648365,0.15195530726256978,0.12525667351129366,0.05496828752642702,0.20481927710843373,0.0806916426512968,0.12422360248447206,0.056451612903225756,0.07706766917293228,0.05232558139534882,0.11369863013698633,0.15610510046367854,0.06708595387840666
lounge,0.05671641791044779,0.05671641791044779,0.06835443037974687,0.14797136038186154,0.0949494949494949,0.07249070631970256,0.06958762886597936,0.07823960880195602,0.06716417910447758,0.060109289617486295,0.08615384615384614,0.09011627906976749,0.12322274881516593,0.08301158301158296,0.046511627906976716,0.059171597633136064,0.16630196936542674,0.05373134328358209,0.09504950495049502,0.11598302687411599,0.12703583061889245,0.07648725212464591,0.07258064516129037,0.09547738693467334,0.12177985948477754,0.0672268907563025,0.0,0.06321839080459768,0.06166219839142095,0.1225806451612903,0.06172839506172845,0.07954545454545459,0.1178247734138973,0.08668730650154799,0.05607476635514019,0.06930693069306926,0.07511737089201875,0.10994764397905754,0.11481481481481481,0.07969151670951158,0.0943952802359882,0.1166666666666667,0.13296903460837883,0.07512953367875652,0.12181303116147313,0.1042183622828784,0.0978835978835979,0.12850082372322902,0.16322701688555352,0.10755813953488369
make,0.08176100628930816,0.08176100628930816,0.07291666666666663,0.07045454545454544,0.13191489361702124,0.06779661016949157,0.08288770053475936,0.1136950904392765,0.06075949367088607,0.09883720930232553,0.06853582554517135,0.0993975903614458,0.09176470588235297,0.08893280632411071,0.06756756756756754,0.1796610169491526,0.08057851239669422,0.058641975308642014,0.0881763527054108,0.0941011235955056,0.09999999999999998,0.11445783132530118,0.08298755186721996,0.12698412698412698,0.14111922141119226,0.08026030368763559,0.06321839080459768,0.0,0.09039548022598876,0.0888888888888889,0.0852713178294574,0.06321839080459768,0.12852664576802508,0.09999999999999998,0.13624678663239076,0.08205128205128209,0.10073710073710074,0.12078152753108351,0.10110974106041926,0.09625668449197866,0.1316614420062696,0.125,0.07746478873239437,0.09164420485175206,0.1454005934718101,0.09848484848484851,0.08288770053475936,0.14991482112436116,0.10707803992740472,0.0911764705882353
need,0.10778443113772451,0.09792284866468848,0.04784688995215314,0.11685393258426968,0.12955465587044535,0.0981481481481481,0.08564231738035266,0.08037825059101655,0.07228915662650603,0.11294765840220389,0.05730659025787965,0.08310249307479223,0.09375,0.09487666034155595,0.09067357512953367,0.08720930232558144,0.10909090909090913,0.0982142857142857,0.10700389105058361,0.10576923076923073,0.08422664624808573,0.1412103746397695,0.08946322067594437,0.16195372750642678,0.09999999999999998,0.10084033613445376,0.06166219839142095,0.09039548022598876,0.0,0.10216718266253866,0.1262626262626263,0.1123595505617978,0.040431266846361225,0.08902077151335308,0.11428571428571432,0.0717703349282297,0.12056737588652477,0.13780918727915192,0.12210012210012211,0.07125307125307123,0.0602739726027397,0.1464699683877766,0.10571923743500866,0.12827225130890052,0.06459948320413433,0.07459207459207462,0.08020050125313283,0.1491803278688525,0.10608695652173916,0.050264550264550234
nice,0.10197368421052633,0.05845181674565558,0.12671755725190836,0.14511494252873558,0.1610284167794317,0.21496598639455777,0.1368584758942457,0.15045592705167177,0.12537764350453173,0.10344827586206895,0.10214168039538718,0.10383386581469645,0.133428981348637,0.15852047556142668,0.10076335877862597,0.058084772370486704,0.18741258741258737,0.0738362760834671,0.1633199464524766,0.25568181818181823,0.17757009345794394,0.08242612752721612,0.1876750700280112,0.11572700296735905,0.11344537815126055,0.1822094691535151,0.1225806451612903,0.0888888888888889,0.10216718266253866,0.0,0.10518518518518516,0.10651828298887123,0.08544303797468356,0.09165302782324058,0.15488721804511274,0.10979228486646886,0.1483679525222552,0.3091508656224238,0.22389558232931728,0.1271056661562021,0.07511737089201875,0.3106704438149197,0.21818181818181814,0.10422960725075525,0.09370199692780334,0.12407680945347122,0.10925644916540211,0.17626321974148063,0.2267365661861075,0.09936908517350163
